"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] CompanyNameComparatorLevenshteinSimilarity record1Value","[0] CompanyNameComparatorLevenshteinSimilarity record2Value","[0] CompanyNameComparatorLevenshteinSimilarity record1PreprocessedValue","[0] CompanyNameComparatorLevenshteinSimilarity record2PreprocessedValue","[0] CompanyNameComparatorLevenshteinSimilarity similarity","[0] CompanyNameComparatorLevenshteinSimilarity postproccesedSimilarity"
"WekaMatchingRule","dbpedia_3421","7.1m_506",,"0","Portola Pharmaceuticals","teva pharmaceuticals","Portola Pharmaceuticals","teva pharmaceuticals","0.782608695652174","0.782608695652174"
"WekaMatchingRule","dbpedia_3688","7.1m_1880",,"0","Okuma Corporation","bose corporation","Okuma Corporation","bose corporation","0.7058823529411764","0.7058823529411764"
"WekaMatchingRule","dbpedia_4502","7.1m_123",,"0","Avid Technology","dxc technology","Avid Technology","dxc technology","0.7333333333333334","0.7333333333333334"
"WekaMatchingRule","dbpedia_6882","7.1m_27376","0.0109375",,"MediaMonks","medife","MediaMonks","medife","0.4","0.4"
"WekaMatchingRule","dbpedia_5724","7.1m_543",,"0","API Healthcare","university of illinois at urbana-champaign","API Healthcare","university of illinois at urbana-champaign","0.1428571428571429","0.1428571428571429"
"WekaMatchingRule","dbpedia_4159","7.1m_329","1.0","1","Kuehne + Nagel","kuehne + nagel","Kuehne + Nagel","kuehne + nagel","1.0","1.0"
"WekaMatchingRule","dbpedia_4569","7.1m_172233","0.0109375",,"Stratasys","steelmint","Stratasys","steelmint","0.2222222222222222","0.2222222222222222"
"WekaMatchingRule","dbpedia_5155","7.1m_633",,"0","Semrush","atkins","Semrush","atkins","0.1428571428571429","0.1428571428571429"
"WekaMatchingRule","dbpedia_4706","7.1m_25854","0.0109375",,"Cerner","celfocus","Cerner","celfocus","0.25","0.25"
"WekaMatchingRule","dbpedia_5999","7.1m_616",,"0","Budweiser Budvar Brewery","banner health","Budweiser Budvar Brewery","banner health","0.20833333333333337","0.20833333333333337"
"WekaMatchingRule","dbpedia_5955","7.1m_95034","0.0109375",,"Artnet","artco","Artnet","artco","0.5","0.5"
"WekaMatchingRule","dbpedia_4417","7.1m_1199",,"0","Michel Cluizel","pt. bank negara indonesia (persero) tbk.","Michel Cluizel","pt. bank negara indonesia (persero) tbk.","0.09999999999999998","0.09999999999999998"
"WekaMatchingRule","dbpedia_3620","7.1m_150","1.0","1","Baker Hughes","baker hughes","Baker Hughes","baker hughes","1.0","1.0"
"WekaMatchingRule","dbpedia_3895","7.1m_219","1.0","1","Salesforce","salesforce","Salesforce","salesforce","1.0","1.0"
"WekaMatchingRule","dbpedia_553","7.1m_1315",,"0","Rocket Lab","swedbank","Rocket Lab","swedbank","0.09999999999999998","0.09999999999999998"
"WekaMatchingRule","dbpedia_425","7.1m_612",,"0","FriulAdria","burger king corporation","FriulAdria","burger king corporation","0.17391304347826086","0.17391304347826086"
"WekaMatchingRule","dbpedia_6752","7.1m_548",,"0","Seylan Bank","ping an insurance (group) company of china ,ltd","Seylan Bank","ping an insurance (group) company of china ,ltd","0.12765957446808507","0.12765957446808507"
"WekaMatchingRule","dbpedia_1470","7.1m_76","1.0","1","UBS","ubs","UBS","ubs","1.0","1.0"
"WekaMatchingRule","dbpedia_4220","7.1m_756",,"0","Forrester Research","verizon business","Forrester Research","verizon business","0.16666666666666663","0.16666666666666663"
"WekaMatchingRule","dbpedia_257","7.1m_1132","1.0","1","Newell Brands","newell brands","Newell Brands","newell brands","1.0","1.0"
"WekaMatchingRule","dbpedia_4424","7.1m_41581","0.0109375",,"Metso","mercure","Metso","mercure","0.2857142857142857","0.2857142857142857"
"WekaMatchingRule","dbpedia_3481","7.1m_220",,"0","IWBank","edf","IWBank","edf","0.0","0.0"
"WekaMatchingRule","dbpedia_3690","7.1m_796",,"0","CPAmerica International","colliers international","CPAmerica International","colliers international","0.6956521739130435","0.6956521739130435"
"WekaMatchingRule","dbpedia_2583","7.1m_36",,"0","Morgan Motor Company","ford motor company","Morgan Motor Company","ford motor company","0.8","0.8"
"WekaMatchingRule","dbpedia_1463","7.1m_1880",,"0","Sysmex Corporation","bose corporation","Sysmex Corporation","bose corporation","0.7777777777777778","0.7777777777777778"
"WekaMatchingRule","dbpedia_3200","7.1m_1311",,"0","PV Crystalox Solar","mcmaster university","PV Crystalox Solar","mcmaster university","0.052631578947368474","0.052631578947368474"
"WekaMatchingRule","dbpedia_3546","7.1m_33481","0.0109375",,"TenneT","teladoc","TenneT","teladoc","0.2857142857142857","0.2857142857142857"
"WekaMatchingRule","dbpedia_1906","7.1m_1220",,"0","Group O","groupon","Group O","groupon","0.7142857142857143","0.7142857142857143"
"WekaMatchingRule","dbpedia_3236","7.1m_263",,"0","Watsco","new york life insurance company","Watsco","new york life insurance company","0.12903225806451613","0.12903225806451613"
"WekaMatchingRule","dbpedia_5473","7.1m_579",,"0","Chipotle Mexican Grill","nasa","Chipotle Mexican Grill","nasa","0.045454545454545414","0.045454545454545414"
"WekaMatchingRule","dbpedia_2754","7.1m_47",,"0","Bjørnøen","unilever","Bjørnøen","unilever","0.125","0.125"
"WekaMatchingRule","dbpedia_5024","7.1m_93160","0.0109375",,"Mediacom","metorex","Mediacom","metorex","0.25","0.25"
"WekaMatchingRule","dbpedia_6430","7.1m_1535",,"0","Diamondback Energy","servier","Diamondback Energy","servier","0.11111111111111116","0.11111111111111116"
"WekaMatchingRule","dbpedia_3757","7.1m_532","1.0","1","International Paper","international paper","International Paper","international paper","1.0","1.0"
"WekaMatchingRule","dbpedia_889","7.1m_19798","0.0109375",,"Uniadex","unknown","Uniadex","unknown","0.2857142857142857","0.2857142857142857"
"WekaMatchingRule","dbpedia_4085","7.1m_10482","0.0109375",,"CEMIG","centerstone","CEMIG","centerstone","0.18181818181818177","0.18181818181818177"
"WekaMatchingRule","dbpedia_3296","7.1m_1196",,"0","Scottrade","skf group","Scottrade","skf group","0.2222222222222222","0.2222222222222222"
"WekaMatchingRule","dbpedia_5807","7.1m_506",,"0","Acadia Pharmaceuticals","teva pharmaceuticals","Acadia Pharmaceuticals","teva pharmaceuticals","0.7727272727272727","0.7727272727272727"
"WekaMatchingRule","dbpedia_5427","7.1m_1656",,"0","Réseau de Transport d'Électricité","kerry","Réseau de Transport d'Électricité","kerry","0.09090909090909094","0.09090909090909094"
"WekaMatchingRule","dbpedia_2174","7.1m_268",,"0","Yellow Corporation","fluor corporation","Yellow Corporation","fluor corporation","0.7777777777777778","0.7777777777777778"
"WekaMatchingRule","dbpedia_5895","7.1m_241",,"1","Bombardier Inc.","bombardier","Bombardier Inc.","bombardier","0.6666666666666667","0.6666666666666667"
"WekaMatchingRule","dbpedia_4224","7.1m_676",,"0","Chiron Corporation","bechtel corporation","Chiron Corporation","bechtel corporation","0.6842105263157895","0.6842105263157895"
"WekaMatchingRule","dbpedia_2761","7.1m_1758",,"0","Gaumont Film Company","emirates nbd","Gaumont Film Company","emirates nbd","0.09999999999999998","0.09999999999999998"
"WekaMatchingRule","dbpedia_899","7.1m_588",,"0","Antec","symantec","Antec","symantec","0.625","0.625"
"WekaMatchingRule","dbpedia_2133","7.1m_1250",,"0","Hill International","harman international","Hill International","harman international","0.75","0.75"
"WekaMatchingRule","dbpedia_1085","7.1m_1469","1.0","1","Trader Joe's","trader joe's","Trader Joe's","trader joe's","1.0","1.0"
"WekaMatchingRule","dbpedia_6863","7.1m_70490","0.0109375",,"Inxight","indépendant","Inxight","indépendant","0.2727272727272727","0.2727272727272727"
"WekaMatchingRule","dbpedia_4780","7.1m_332",,"0","Pantos Logistics","kimberly-clark","Pantos Logistics","kimberly-clark","0.0625","0.0625"
"WekaMatchingRule","dbpedia_6610","7.1m_1811",,"0","Clarín Group","baptist health south florida","Clarín Group","baptist health south florida","0.1071428571428571","0.1071428571428571"
"WekaMatchingRule","dbpedia_4850","7.1m_123881","0.0109375",,"SuperMap","supplyforce","SuperMap","supplyforce","0.2727272727272727","0.2727272727272727"
"WekaMatchingRule","dbpedia_6678","7.1m_253","1.0","1","Allianz","allianz","Allianz","allianz","1.0","1.0"
"WekaMatchingRule","dbpedia_3342","7.1m_1097",,"0","Storage Technology Corporation","pernod ricard","Storage Technology Corporation","pernod ricard","0.19999999999999996","0.19999999999999996"
"WekaMatchingRule","dbpedia_6645","7.1m_268",,"0","Tesoro Corporation","fluor corporation","Tesoro Corporation","fluor corporation","0.7777777777777778","0.7777777777777778"
"WekaMatchingRule","dbpedia_4604","7.1m_1160",,"1","Loblaw Companies","loblaw companies limited","Loblaw Companies","loblaw companies limited","0.6666666666666667","0.6666666666666667"
"WekaMatchingRule","dbpedia_48","7.1m_1972",,"0","BAZAN Group","uba group","BAZAN Group","uba group","0.6363636363636364","0.6363636363636364"
"WekaMatchingRule","dbpedia_4684","7.1m_812",,"0","Vestel","avaya","Vestel","avaya","0.0","0.0"
"WekaMatchingRule","dbpedia_2736","7.1m_1880",,"0","URS Corporation","bose corporation","URS Corporation","bose corporation","0.8125","0.8125"
"WekaMatchingRule","dbpedia_4514","7.1m_29016","0.0109375",,"Promega","privatair","Promega","privatair","0.33333333333333337","0.33333333333333337"
"WekaMatchingRule","dbpedia_1245","7.1m_855",,"0","HP Inc.","robert half","HP Inc.","robert half","0.09090909090909094","0.09090909090909094"
"WekaMatchingRule","dbpedia_5922","7.1m_6667","0.0109375",,"Peñoles","peri","Peñoles","peri","0.2857142857142857","0.2857142857142857"
"WekaMatchingRule","dbpedia_385","7.1m_1632",,"0","PTV AG","airbnb","PTV AG","airbnb","0.0","0.0"
"WekaMatchingRule","dbpedia_2932","7.1m_1841","1.0","1","Tenet Healthcare","tenet healthcare","Tenet Healthcare","tenet healthcare","1.0","1.0"
"WekaMatchingRule","dbpedia_4146","7.1m_272",,"0","DWS Group","bmw group","DWS Group","bmw group","0.6666666666666667","0.6666666666666667"
"WekaMatchingRule","dbpedia_4164","7.1m_1930","1.0","1","Korn Ferry","korn ferry","Korn Ferry","korn ferry","1.0","1.0"
"WekaMatchingRule","dbpedia_4032","7.1m_615",,"0","Spark Therapeutics","cnh industrial","Spark Therapeutics","cnh industrial","0.11111111111111116","0.11111111111111116"
"WekaMatchingRule","dbpedia_6650","7.1m_506","1.0","1","Teva Pharmaceuticals","teva pharmaceuticals","Teva Pharmaceuticals","teva pharmaceuticals","1.0","1.0"
"WekaMatchingRule","dbpedia_3009","7.1m_43836","0.0109375",,"Trans-Lux","tradium","Trans-Lux","tradium","0.4444444444444444","0.4444444444444444"
"WekaMatchingRule","dbpedia_4547","7.1m_1385",,"0","DiDi","bennett coleman and co. ltd. (times group)","DiDi","bennett coleman and co. ltd. (times group)","0.0714285714285714","0.0714285714285714"
"WekaMatchingRule","dbpedia_1022","7.1m_154",,"0","Roth & Rau","rbc","Roth & Rau","rbc","0.09999999999999998","0.09999999999999998"
"WekaMatchingRule","dbpedia_3394","7.1m_1021","1.0","1","GfK","gfk","GfK","gfk","1.0","1.0"
"WekaMatchingRule","dbpedia_3266","7.1m_1840",,"0","BNP Paribas","bnp paribas cardif","BNP Paribas","bnp paribas cardif","0.6111111111111112","0.6111111111111112"
"WekaMatchingRule","dbpedia_3546","7.1m_116434","0.0109375",,"TenneT","tersuave","TenneT","tersuave","0.25","0.25"
